id,original_id,anatomy_group,category,subcategory,value,description,usage_count,order_index,is_default,imported_at,created_at,updated_at,is_nsfw
2b49321e-22fd-4aa1-9e64-24d93f7a7672,36436,Action & Movement,Action,,Running,Moving rapidly on foot,0,0,FALSE,"""2025-09-12T22:17:42.559Z""","""2025-04-07T00:23:19.000Z""","""2025-04-22T10:40:00.000Z""",FALSE
2aedb84b-be05-478f-b504-ccf674090e93,36437,Action & Movement,Action,,Walking,Moving at a regular pace by lifting and setting down each foot in turn,0,0,FALSE,"""2025-09-12T22:17:42.559Z""","""2025-04-07T00:23:19.000Z""","""2025-04-22T10:40:00.000Z""",FALSE
ac3052e9-de08-4e64-afa0-a690a1a854dd,36438,Action & Movement,Action,,Jumping,Pushing oneself off a surface and into the air,0,0,FALSE,"""2025-09-12T22:17:42.559Z""","""2025-04-07T00:23:19.000Z""","""2025-04-22T10:40:00.000Z""",FALSE
bed642c7-f5b5-4ffc-bcfa-7bf4d21b08c9,36439,Action & Movement,Action,,Climbing,"Going up, ascending, or rising",0,0,FALSE,"""2025-09-12T22:17:42.559Z""","""2025-04-07T00:23:19.000Z""","""2025-04-22T10:40:00.000Z""",FALSE
fd034408-8c37-46ea-a541-5c0c20309dde,36440,Action & Movement,Action,,Swimming,Moving through water by using the limbs,0,0,FALSE,"""2025-09-12T22:17:42.559Z""","""2025-04-07T00:23:19.000Z""","""2025-04-22T10:40:00.000Z""",FALSE
8b8a5d96-eaee-4f75-9e19-1ee50e0cc0b3,36441,Action & Movement,Action,,Flying,Moving through the air,0,0,FALSE,"""2025-09-12T22:17:42.559Z""","""2025-04-07T00:23:19.000Z""","""2025-04-22T10:40:00.000Z""",FALSE
d2d9daf2-225a-4fcb-b53b-e37901e36344,36442,Action & Movement,Action,,Dancing,Moving rhythmically to music,0,0,FALSE,"""2025-09-12T22:17:42.559Z""","""2025-04-07T00:23:19.000Z""","""2025-04-22T10:40:00.000Z""",FALSE
5fdfc159-ee3c-4740-a166-e255710466c1,36443,Action & Movement,Action,,Fighting,Engaging in a struggle or battle,0,0,FALSE,"""2025-09-12T22:17:42.559Z""","""2025-04-07T00:23:19.000Z""","""2025-04-22T10:40:00.000Z""",FALSE
5496cd8a-e89b-4897-bcdf-bd9b67f83e55,36444,Action & Movement,Action,,Reading,Looking at and interpreting written words,0,0,FALSE,"""2025-09-12T22:17:42.559Z""","""2025-04-07T00:23:19.000Z""","""2025-04-22T10:40:00.000Z""",FALSE
cb84769f-bafd-4671-b5ea-7fabd4ad6179,36445,Action & Movement,Action,,Writing,"Marking letters, words, or other symbols on a surface",0,0,FALSE,"""2025-09-12T22:17:42.559Z""","""2025-04-07T00:23:19.000Z""","""2025-04-22T10:40:00.000Z""",FALSE
